"","OBS","ARIMA","ETS","FTS_SA"
"1",3.4,3.18756801310093,3.390625,NA
"2",4.75,3.40442058150873,3.39999905900946,NA
"3",1.79,4.59930405102778,4.74986449726728,NA
"4",3.74,1.21284404207973,1.79029708848023,NA
"5",1.01,4.18654186647079,3.7398043037864,NA
"6",1.51,0.810367164332728,1.0102739968038,NA
"7",0.36,2.27987366667132,1.50994984133937,NA
"8",-1.43,0.972974077911722,0.360115423138801,NA
"9",0.77,-0.369563667370325,-1.42982032195359,NA
"10",-0.4,2.42956620999318,0.769779198920482,NA
"11",-0.62,0.49325592244515,-0.399882586542482,-0.523531945725418
"12",2.17,0.697238120652604,-0.619977906303516,-0.48774970856546
"13",4.4,3.51167892953684,2.16971996343183,3.04972520856519
"14",3.98,4.69734688934591,4.39977614160812,5.19088092307098
"15",4.56,3.48563168368368,3.98004213390716,4.05762539568459
"16",4.6,4.20496397306031,4.55994178828078,4.9110965036149
"17",3.48,4.03613315413878,4.59999597926417,4.80328777921225
"18",2.33,2.92365284660664,3.48011241660003,3.36968850344072
"19",0.46,2.19785792888407,2.33011543945686,2.21174236768878
"20",-0.53,0.776882180455617,0.460187707834015,0.226083341247945
"21",0.48,0.476993209320801,-0.529900612557929,-0.605817415134957
"22",2.3,1.82239252023353,0.479898633927856,0.948141174419618
"23",4.17,3.24456343888387,2.2998173121948,2.89381976750282
"24",5.17,4.4252057739822,4.16981228541611,4.86301197968056
"25",2.67,4.73489949551031,5.169899608834,5.63595822294456
"26",0.78,1.92500531012509,2.67025092073512,2.26258491005185
"27",0.63,0.968673953440892,0.780189728879078,0.471181003014996
"28",0.59,1.49955814708458,0.630015074892226,0.781510790670021
"29",3.88,1.51414513357036,0.590004016406088,0.771368444302236
"30",6.31,4.75425627644889,3.87966977545505,4.80985923786176
"31",6.56,5.95666595059403,6.3097560621057,7.15121155711004
"32",6.21,5.33012770387101,6.55997488243422,6.82088451947214
"33",4.18,4.89728479334048,6.21003512779252,6.30698478998223
"34",4.47,3.03246776897129,4.18020375934489,3.83636025025699
"35",2.11,4.04497990210862,4.46997091247765,4.74184503386605
"36",2.15,1.62703389904214,2.11023687576658,1.71200445720468
"37",4.28,2.51280044607671,2.14999600888279,2.35328777921225
"38",2.28,4.58686401636749,4.27978620654791,5.0448660235335
"39",4.49,1.86186890726965,2.28020072319035,1.94381844283914
"40",4.8,4.74613191830903,4.48977819730959,5.26832886654361
"41",5.19,4.257337623099,4.79996886231651,5.07733989707343
"42",6.54,4.52852384644918,5.18996085166803,5.48927155228981
"43",5.87,5.71226958059149,6.53986449343232,7.0999331067966
"44",6.64,4.57109741170944,5.8700672358564,5.88081325991544
"45",6.16,5.56639660532377,6.63992272005864,7.04331094468319
"46",6.34,4.81956451440919,6.16004817095906,6.22133897244183
"47",6.98,5.16822918327736,6.33998193781659,6.58169541492235
"48",1.03,5.73116602277786,6.97993575989928,7.3477896025944
"49",-2.43,-0.332232676954746,1.03059720888372,0.20181131158489
"50",-2.2,-1.59037212003059,-2.42965265181348,-3.05906406619419
"51",-1.16,-0.123738069757404,-2.20002305077052,-1.9446027262024
"52",5.32,0.813453456122154,-1.16010438953129,-0.716769576890051
"53",9.21,6.7938768604391,5.31934957685847,6.66193934146882
"54",8.52,8.28350607928515,9.20960948637265,10.3444760607724
"55",6.91,6.21160967848435,8.52006921770725,8.52996633401568
"56",5.69,4.88055241023417,6.91016160639022,6.67459262664615
"57",5.2,4.26189046741785,5.69012247045688,5.55330855735221
"58",4.7,4.21907973435917,5.20004919473172,5.25861144374692
"59",3.54,3.90460844235345,4.70005019110011,4.75589826089884
"60",2.57,2.94661069026045,3.54011643693439,3.41910446996064
"61",1.71,2.41164954309971,2.57009737284195,2.49950638127008
"62",0.99,1.9163863987239,1.71008632997273,1.66884410561794
"63",2.49,1.51893203527772,0.990072276738885,0.986430404375528
"64",2.48,3.24791333695605,2.48984944876762,2.82821630762999
"65",2.72,2.70004870597289,2.48000098861207,2.6694796582786
"66",4.02,2.93894978128273,2.71997591074131,2.97801346405314
"67",2.76,4.12747775151752,4.01986951356006,4.56701920838849
"68",2.53,2.42576063878368,2.76012645603183,2.62328344188605
"69",3.47,2.65222167943323,2.53002309832735,2.65940308311266
"70",-0.44,3.65637073142733,3.46990565233327,3.91963349112276
"71",-0.64,-0.514470864189787,-0.439607553680529,-1.02011104940312
"72",-0.23,0.691976883348397,-0.639979886144321,-0.502401201622432
"73",-1.61,1.16571296688573,-0.23004115063423,0.0747680489430199
"74",-2.73,-0.334412288084407,-1.60986149032237,-1.78764607367377
"75",-4.26,-0.937529241991491,-2.72988756909386,-2.84025681343181
"76",-5.53,-2.0359046746595,-4.25984641905834,-4.47644808835583
"77",-5.16,-2.73228689640712,-5.52987251173242,-5.67981238700706
"78",-3.24,-1.9139537662889,-5.16003712496383,-4.86619363520673
"79",-2.45,-0.16416312798721,-3.24019271858964,-2.70760973465481
"80",-2.21,-0.0783044940714164,-2.45007931348008,-2.04122490130354
"81",0.39,-0.126368688409506,-2.21002409731879,-1.95180803861569
"82",0.88,2.33677683295446,0.389739029537217,1.21154885339499
"83",1.63,1.88457247587048,0.879950791366712,1.20671222078775
"84",2.38,2.44416252770872,1.62992471581733,2.02786352285034
"85",1.45,2.9104888669114,2.37992471320007,2.77786640755393
"86",1.05,1.72961714003945,1.45009333870521,1.53624858815495
"87",1.54,1.67102425027311,1.05004015829848,1.13307848437426
"88",1.22,2.29493965436883,1.53995082159171,1.86671222078775
"89",0.59,1.80542141412384,1.22003211420774,1.32485909618931
"90",1.08,1.30250824720502,0.590063237787905,0.610703956883613
"91",1.2,2.00892616632452,1.07995082390825,1.40671222078775
"92",1.67,1.95081694338479,1.19998795038512,1.42522233774035
"93",-0.25,2.36859542142276,1.66995282379797,1.99122979708787
